,layer_name,class1,class2,acts_dim,train_accuracy,test_accuracy,train_time
0,Conv1,ship,frog,8192,0.969,0.887,8.307396650314331
1,Conv_1,ship,frog,1280,0.9956,0.9795,1.0478096008300781
2,global_average_pooling2d,ship,frog,1280,0.9985,0.9755,1.158179521560669
3,predictions,ship,frog,10,0.9912,0.9755,0.022701740264892578
4,expanded_conv_project,ship,frog,4096,1.0,0.966,4.472553014755249
5,block_1_project,ship,frog,1536,1.0,0.973,1.3310003280639648
6,block_2_project,ship,frog,1536,1.0,0.972,1.358537197113037
7,block_3_project,ship,frog,512,1.0,0.982,0.4889106750488281
8,block_4_project,ship,frog,512,0.9996,0.9705,0.5369970798492432
9,block_5_project,ship,frog,512,1.0,0.9805,0.48958659172058105
10,block_6_project,ship,frog,256,0.9993,0.987,0.28338003158569336
11,block_7_project,ship,frog,256,0.9993,0.982,0.3550584316253662
12,block_8_project,ship,frog,256,0.9995,0.9815,0.6260528564453125
13,block_9_project,ship,frog,256,0.9992,0.9805,0.2979555130004883
14,block_10_project,ship,frog,384,1.0,0.983,0.3914792537689209
15,block_11_project,ship,frog,384,0.9971,0.979,0.3870871067047119
16,block_12_project,ship,frog,384,0.9963,0.978,0.3445396423339844
17,block_13_project,ship,frog,160,0.9961,0.9805,0.18741130828857422
18,block_14_project,ship,frog,160,0.8928,0.867,0.18780183792114258
19,block_15_project,ship,frog,160,0.8733,0.8675,0.1731581687927246
20,block_16_project,ship,frog,320,0.9957,0.9795,0.38080692291259766
21,,,,,,,
22,pixel,ship,frog,3072,0.9574,0.902,3.3215126991271973
