layer_name,class1,class2,acts_dim,train_accuracy,test_accuracy,train_time
Conv1,truck,automobile,8192,0.7858,0.673,8.497168779373169
Conv_1,truck,automobile,1280,0.9782,0.9215,1.1425893306732178
expanded_conv_project,truck,automobile,4096,1.0,0.813,4.265788316726685
expanded_conv_project_BN,truck,automobile,4096,1.0,0.814,4.316072702407837
block_1_project,truck,automobile,1536,0.9416,0.846,1.315068006515503
block_1_project_BN,truck,automobile,1536,0.9411,0.846,1.3320095539093018
block_2_project,truck,automobile,1536,0.9669,0.8605,1.2547121047973633
block_2_project_BN,truck,automobile,1536,0.9676,0.861,1.2819418907165527
block_3_project,truck,automobile,512,0.9457,0.9035,0.519493818283081
block_3_project_BN,truck,automobile,512,0.9457,0.903,0.5605809688568115
block_4_project,truck,automobile,512,0.9535,0.91,0.49784398078918457
block_4_project_BN,truck,automobile,512,0.9535,0.91,0.5848147869110107
block_5_project,truck,automobile,512,0.9569,0.9015,0.5102691650390625
block_5_project_BN,truck,automobile,512,0.9569,0.9015,0.4944291114807129
block_6_project,truck,automobile,256,0.9746,0.922,0.27504801750183105
block_6_project_BN,truck,automobile,256,0.9746,0.922,0.27313995361328125
block_7_project,truck,automobile,256,0.9748,0.908,0.28890061378479004
block_7_project_BN,truck,automobile,256,0.9748,0.908,0.3636956214904785
block_8_project,truck,automobile,256,0.9798,0.9155,0.33814477920532227
block_8_project_BN,truck,automobile,256,0.9797,0.916,0.28565001487731934
block_9_project,truck,automobile,256,0.9818,0.9145,0.3055574893951416
block_9_project_BN,truck,automobile,256,0.9819,0.915,0.3107583522796631
block_10_project,truck,automobile,384,0.9895,0.921,0.34267354011535645
block_10_project_BN,truck,automobile,384,0.9896,0.921,0.3495776653289795
block_11_project,truck,automobile,384,0.9848,0.916,0.3312077522277832
block_11_project_BN,truck,automobile,384,0.9847,0.9165,0.3647139072418213
block_12_project,truck,automobile,384,0.9824,0.917,0.3567500114440918
block_12_project_BN,truck,automobile,384,0.9824,0.9175,0.37027430534362793
block_13_project,truck,automobile,160,0.9809,0.9225,0.20183086395263672
block_13_project_BN,truck,automobile,160,0.9808,0.922,0.17447662353515625
block_14_project,truck,automobile,160,0.8014,0.7735,0.15518617630004883
block_14_project_BN,truck,automobile,160,0.8014,0.7735,0.13759183883666992
block_15_project,truck,automobile,160,0.6375,0.642,0.05321335792541504
block_15_project_BN,truck,automobile,160,0.6375,0.642,0.055513620376586914
block_16_project,truck,automobile,320,0.9785,0.921,0.3252222537994385
block_16_project_BN,truck,automobile,320,0.9784,0.9215,0.4583470821380615
